role,projection,dist_from_assistant,cos_to_axis
symbiont,-26.729557037353516,22.18541431427002,0.721505880355835
anarchist,-26.907211303710938,22.36306858062744,0.4880574345588684
celebrity,-27.112773895263672,22.568631172180176,0.6221646666526794
traditionalist,-27.320877075195312,22.776734352111816,0.5775671005249023
chameleon,-27.90821075439453,23.364068031311035,0.8279819488525391
devils_advocate,-28.183704376220703,23.639561653137207,0.6649705171585083
refugee,-28.259397506713867,23.71525478363037,0.656190037727356
dilettante,-28.67807960510254,24.133936882019043,0.7674206495285034
philosopher,-28.699886322021484,24.15574359893799,0.6072671413421631
toddler,-28.78040313720703,24.236260414123535,0.3286893367767334
merchant,-28.976547241210938,24.43240451812744,0.7643380165100098
soldier,-29.253400802612305,24.70925807952881,0.6534028053283691
procrastinator,-29.290311813354492,24.746169090270996,0.408689022064209
sommelier,-29.58521270751953,25.041069984436035,0.5986899137496948
hive,-29.698923110961914,25.154780387878418,0.6790101528167725
purist,-29.78801918029785,25.243876457214355,0.6542644500732422
empath,-30.142671585083008,25.59852886199951,0.7111993432044983
workaholic,-30.442943572998047,25.89880084991455,0.6805511713027954
gamer,-30.621278762817383,26.077136039733887,0.5707539319992065
tulpa,-30.88648796081543,26.342345237731934,0.864224910736084
grandparent,-31.615083694458008,27.07094097137451,0.5992379188537598
loner,-31.6317138671875,27.087571144104004,0.7041338086128235
stoic,-31.67892837524414,27.134785652160645,0.6005666255950928
bartender,-31.815553665161133,27.271410942077637,0.6111634969711304
composer,-32.01365280151367,27.469510078430176,0.6791648864746094
idealist,-32.039459228515625,27.49531650543213,0.7551740407943726
spy,-32.177127838134766,27.63298511505127,0.7139455080032349
visionary,-32.325931549072266,27.78178882598877,0.7940406203269958
prisoner,-32.392757415771484,27.84861469268799,0.6165328025817871
provincial,-32.45228958129883,27.908146858215332,0.6949460506439209
improviser,-32.71620559692383,28.172062873840332,0.7076025605201721
addict,-32.782737731933594,28.238595008850098,0.6072707176208496
saboteur,-32.898372650146484,28.35422992706299,0.7066755890846252
infant,-33.054447174072266,28.51030445098877,0.3542831540107727
nomad,-33.063720703125,28.519577980041504,0.8326202630996704
orphan,-33.11968231201172,28.575539588928223,0.678815484046936
swarm,-33.15428924560547,28.610146522521973,0.7607244253158569
auctioneer,-33.25368118286133,28.709538459777832,0.7216418981552124
competitor,-33.356414794921875,28.81227207183838,0.7115237712860107
photographer,-33.661766052246094,29.117623329162598,0.7575528621673584
destroyer,-33.77082443237305,29.22668170928955,0.792560875415802
contrarian,-33.842105865478516,29.29796314239502,0.7279306650161743
hacker,-34.43336868286133,29.889225959777832,0.7051388621330261
gossip,-34.786373138427734,30.24223041534424,0.5119373798370361
survivor,-34.82634353637695,30.282200813293457,0.7547386884689331
artisan,-34.887969970703125,30.34382724761963,0.8113594055175781
widow,-35.404685974121094,30.860543251037598,0.689421534538269
virtuoso,-35.59769821166992,31.053555488586426,0.883274495601654
